machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
dali;2048;4;4;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;968680
dali;2048;4;4;46;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;912722
dali;2048;4;4;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;978782
dali;2048;4;4;44;ssandPile;ocl_hybrid;opt;3072;dynamic;cores;;alea;23745516
dali;2048;4;4;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;15837586
dali;2048;4;4;48;ssandPile;ocl_hybrid;opt;1536;dynamic;cores;;alea;12282972
dali;2048;4;4;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;827134
dali;2048;4;4;46;ssandPile;ocl_hybrid;opt;1536;static;cores;;alea;689596
dali;2048;4;4;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;880264
dali;2048;4;4;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;15015531
dali;2048;4;4;46;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;17644271
dali;2048;4;4;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;16626930
dali;2048;8;4;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;877671
dali;2048;8;4;46;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;846237
dali;2048;8;4;48;ssandPile;ocl_hybrid;opt;3328;static;cores;;alea;1318299
dali;2048;8;4;44;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;9428051
dali;2048;8;4;46;ssandPile;ocl_hybrid;opt;1536;dynamic;cores;;alea;4297526
dali;2048;8;4;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;6148847
dali;2048;8;4;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;877298
dali;2048;8;4;46;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;840769
dali;2048;8;4;48;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;1197700
dali;2048;8;4;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;5212883
dali;2048;8;4;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;5688376
dali;2048;8;4;48;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;5278788
dali;2048;16;4;44;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1049536
dali;2048;16;4;46;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1073557
dali;2048;16;4;48;ssandPile;ocl_hybrid;opt;1536;static;cores;;alea;607866
dali;2048;16;4;44;ssandPile;ocl_hybrid;opt;2560;dynamic;cores;;alea;4355248
dali;2048;16;4;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;4197108
dali;2048;16;4;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;4753433
dali;2048;16;4;44;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;948123
dali;2048;16;4;46;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1063425
dali;2048;16;4;48;ssandPile;ocl_hybrid;opt;2816;static;cores;;alea;1104243
dali;2048;16;4;44;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;4911216
dali;2048;16;4;46;ssandPile;ocl_hybrid;opt;2560;dynamic;cores;;alea;4322739
dali;2048;16;4;48;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;4079805
dali;2048;32;4;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;768683
dali;2048;32;4;46;ssandPile;ocl_hybrid;opt;2816;static;cores;;alea;1156356
dali;2048;32;4;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;690579
dali;2048;32;4;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2455233
dali;2048;32;4;46;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;1770547
dali;2048;32;4;48;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;3501729
dali;2048;32;4;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;875292
dali;2048;32;4;46;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;951973
dali;2048;32;4;48;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1199655
dali;2048;32;4;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;2292989
dali;2048;32;4;46;ssandPile;ocl_hybrid;opt;2816;dynamic;cores;;alea;3274141
dali;2048;32;4;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;3042332
dali;2048;4;8;44;ssandPile;ocl_hybrid;opt;2816;static;cores;;alea;1253919
dali;2048;4;8;46;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;880166
dali;2048;4;8;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;945055
dali;2048;4;8;44;ssandPile;ocl_hybrid;opt;2816;dynamic;cores;;alea;9431732
dali;2048;4;8;46;ssandPile;ocl_hybrid;opt;3840;dynamic;cores;;alea;21234195
dali;2048;4;8;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;7181155
dali;2048;4;8;44;ssandPile;ocl_hybrid;opt;1536;static;cores;;alea;2006086
dali;2048;4;8;46;ssandPile;ocl_hybrid;opt;2816;static;cores;;alea;1209193
dali;2048;4;8;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;1019689
dali;2048;4;8;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;7913434
dali;2048;4;8;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;7124444
dali;2048;4;8;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;12282667
dali;2048;8;8;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;864381
dali;2048;8;8;46;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1031849
dali;2048;8;8;48;ssandPile;ocl_hybrid;opt;3328;static;cores;;alea;1539548
dali;2048;8;8;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;4157557
dali;2048;8;8;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;3848241
dali;2048;8;8;48;ssandPile;ocl_hybrid;opt;1536;dynamic;cores;;alea;5028552
dali;2048;8;8;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;858439
dali;2048;8;8;46;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;724773
dali;2048;8;8;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;884287
dali;2048;8;8;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;3961783
dali;2048;8;8;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;4624984
dali;2048;8;8;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;5318907
dali;2048;16;8;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;842091
dali;2048;16;8;46;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;713290
dali;2048;16;8;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;983402
dali;2048;16;8;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2502198
dali;2048;16;8;46;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;2141336
dali;2048;16;8;48;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;3351804
dali;2048;16;8;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;737882
dali;2048;16;8;46;ssandPile;ocl_hybrid;opt;2816;static;cores;;alea;1111996
dali;2048;16;8;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;678172
dali;2048;16;8;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2508110
dali;2048;16;8;46;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;2156570
dali;2048;16;8;48;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;4424056
dali;2048;32;8;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;852618
dali;2048;32;8;46;ssandPile;ocl_hybrid;opt;3328;static;cores;;alea;1302900
dali;2048;32;8;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;798799
dali;2048;32;8;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;1674755
dali;2048;32;8;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2030614
dali;2048;32;8;48;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;2277819
dali;2048;32;8;44;ssandPile;ocl_hybrid;opt;1536;static;cores;;alea;625177
dali;2048;32;8;46;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;708278
dali;2048;32;8;48;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;1151581
dali;2048;32;8;44;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;1911589
dali;2048;32;8;46;ssandPile;ocl_hybrid;opt;2816;dynamic;cores;;alea;2390884
dali;2048;32;8;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2694395
dali;2048;4;16;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;783713
dali;2048;4;16;46;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1062913
dali;2048;4;16;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;996606
dali;2048;4;16;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;5161537
dali;2048;4;16;46;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;5031499
dali;2048;4;16;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;5518480
dali;2048;4;16;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;777698
dali;2048;4;16;46;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;755254
dali;2048;4;16;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;993767
dali;2048;4;16;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;4568831
dali;2048;4;16;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;5071730
dali;2048;4;16;48;ssandPile;ocl_hybrid;opt;2560;dynamic;cores;;alea;6710880
dali;2048;8;16;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;864345
dali;2048;8;16;46;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;888741
dali;2048;8;16;48;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;978056
dali;2048;8;16;44;ssandPile;ocl_hybrid;opt;2560;dynamic;cores;;alea;5509000
dali;2048;8;16;46;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;3310117
dali;2048;8;16;48;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;4181688
dali;2048;8;16;44;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;829136
dali;2048;8;16;46;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;945104
dali;2048;8;16;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;696166
dali;2048;8;16;44;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;4518090
dali;2048;8;16;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;3269660
dali;2048;8;16;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;6271403
dali;2048;16;16;44;ssandPile;ocl_hybrid;opt;2048;static;cores;;alea;845389
dali;2048;16;16;46;ssandPile;ocl_hybrid;opt;2304;static;cores;;alea;935834
dali;2048;16;16;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;679717
dali;2048;16;16;44;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2063365
dali;2048;16;16;46;ssandPile;ocl_hybrid;opt;3072;dynamic;cores;;alea;3027176
dali;2048;16;16;48;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;3458803
dali;2048;16;16;44;ssandPile;ocl_hybrid;opt;2560;static;cores;;alea;1050802
dali;2048;16;16;46;ssandPile;ocl_hybrid;opt;3072;static;cores;;alea;1233559
dali;2048;16;16;48;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;675443
dali;2048;16;16;44;ssandPile;ocl_hybrid;opt;1792;dynamic;cores;;alea;1958919
dali;2048;16;16;46;ssandPile;ocl_hybrid;opt;2048;dynamic;cores;;alea;2204763
dali;2048;16;16;48;ssandPile;ocl_hybrid;opt;2304;dynamic;cores;;alea;4612124
dali;2048;32;16;44;ssandPile;ocl_hybrid;opt;1536;static;cores;;alea;638625
dali;2048;32;16;46;ssandPile;ocl_hybrid;opt;1792;static;cores;;alea;723929
